lenovo thinkpad x230 ,2325IZ0,PK03L5T,sha-win-172,lizha01,,,20609
Lenovo Thinkpad T430,2347G7C,PBE871B,SHA-WIN-178,benson01,AE,,20610
Lenovo Thinkpad T430,2347G7C,PBE871C,SHA-WIN-184,joexu01,AE,,20611
Lenovo Thinkpad T430,2347G7C,PBN05NP,sha-win-187,roczha01,AE,,20612
Lenovo Thinkpad T430,2347G7C,PBH9MT2,sha-win-191,robkon01,FAE,,20705
Lenovo Thinkpad T430,2347G7C,PBH8YZL,sha-win-192,robwan01,R&D(MPEG),,20634
Lenovo Thinkpad T430,2347G7C,PBP7EWF,sha-win-193,royhu01,AE,,20613
Lenovo Thinkpad T430,2347G7C,PBP7EWL,sha-win-195,annche01,ae,,20637
lenovo thinkpad x240 ,20AMS3R604,PC002471,SHA-WIN-196,alimou01,Marketing,,20638
lenovo thinkpad x240 ,20ALS00P00,PF006EM1,SHA-WIN-197,lauli01,HR,,20639
lenovo thinkpad x240 ,,,sha-win-201,merliu01,,,
Lenovo Thinkpad T430,2347G7C,PBP7EWP,sha-win-202,thopre01,R&D(PDSW),,20640
Lenovo Thinkpad T430,2349g7c,pbfz05y,sha-win-203,freyu01,R&D(MPEG),,20643
Lenovo Thinkpad T430,2349g7c,PBBD17E,SHA-WIN-205,JOEYE01,R&D(PDSW),,20645
lenovo thinkpad x240 ,20AL0024CD,PF001PXC13,sha-win-208,marli01,sales,,20646
lenovo thinkpad x240 ,20AL0024CD,PF00B29M13,sha-win-209,Mali400,Mali400,,20649
Lenovo Thinkpad T430,2349G7C,,sha-win-211,danxue01,AE,,20650
Lenovo Thinkpad T440P,20AW0009CD,PB010JQ2,sha-win-215,kuizhe01,R&D(PDSW),,20651
lenovo thinkpad x240 ,,,sha-win-216,fenwan01,Marketing,,20653
lenovo thinkpad x240 ,20AM0016CD,PF00XSSV,sha-win-217,amyqi01,op,,20654
lenovo thinkpad x240 ,20AL0024CD,PB011413,SHA-WIN-220,jesyan01,sales,,20674
Lenovo Thinkpad T440P,20AW0009CD,PB00YKMS,sha-win-221,halwan01,R&D(PDSW),,20658
lenovo thinkpad x240 ,20AL0024CD,PB01144H,sha-win-223,penche01,Marketing,,20673
Lenovo Thinkpad T440p ,20AW0009CD,PB01B44A,sha-win-224,hidzuo01,AE,,20671
Lenovo Thinkpad T440p ,20AW0009CD,PB01BABD,sha-win-225,jimhe01 ,R&D(MPEG),,20697
Lenovo Thinkpad T440p ,20AW0009CD,PB01B44J,sha-win-226,xinwan01,AE,,20701
lenovo thinkpad x240 ,20ALA0CSCD,PB015ZSA,sha-win-227,fanbao01,Marketing,,20700
lenovo thinkpad x240 , 20ALA0CSCD????? ,PB015Z8U,sha-win-228,jialiu01,R&D(PDSW),,20702
Lenovo Thinkpad T440p ,20AW0009CD,PB01B449,sha-win-230,xinfen01,AE,,20704
Lenovo Thinkpad T440p ,20AW000BCD,PB01KA6G,sha-win-231,flofen01,R&D(MPEG),,20703
lenovo thinkpad x240 ,20AM001LCD,PB01VCC5,sha-win-233,binche01,R&D(PDSW),,20707
lenovo thinkpad x240 ,20AM0016CD,PF010EY3,sha-win-234,evagu01,HR,,20716
Lenovo Thinkpad T440p ,20AW000BCD,PB01GZWJ,sha-win-235,jefyan01,R&D(MPEG),,20717
Lenovo Thinkpad T440p ,20AW0009CD,PB010JPY,sha-win-236,lisliu01,AE,,20723
Lenovo Thinkpad T440p ,20AW000BCD,PB01KA6C,sha-win-237,ninshi01,R&D(MPEG),,20724
lenovo thinkpad x240 ,20ALA0CSCD,PB015Z4A,sha-win-238,emmma01,admin,,20726
lenovo thinkpad x240 ,20AMS3R604,PB036ZEN,sha-win-241,davche01,,,20727
lenovo thinkpad x240 ,20AMS3R604,PB036YNR,sha-win-242,lifgen01,,,20728
lenovo thinkpad x240 ,20AMS3R604,PB036YNQ,sha-win-243,kevqin01,R&D(PDSW),,20731
Lenovo thinkpad T440S,20ARS24P9E,PF0305JU,sha-win-244,frayan01,ae,,20729
Lenovo thinkpad T440S,20ARS24P0E,PF0384F0,sha-win-246,yupluo01,AE,,20732
Lenovo thinkpad T440S,20ARS24P0E,PF0384F1,sha-win-247,ninjia01,HOME,,20735
Lenovo thinkpad T440S,20ARS24P0E,PE034PMC,sha-win-248,junxu01,R&D(MPEG),,20736
Lenovo Thinkpad T440p ,,,sha-win-252,terguo01,R&D(PDSW),,20672
lenovo thinkpad x240 ,20ALA0CSCD,PB015ZM2,sha-win-253,nicsun01,Marketing,,20725
Lenovo thinkpad T440S,20ARS24P0E,PF03829Z,sha-win-256,shexu01,R&D(MPEG),,20553
Lenovo thinkpad T440S,20ARS24P0E,PF03HT8V,sha-win-257,riczhu01,,,20561
Lenovo thinkpad T440S,20ARS24P0E,PF03RECQ,sha-win-259,sunsun02,,,20706
Lenovo thinkpad T440S,20ARS24P0E,PF03RCE5,sha-win-260,liazha01,R&D(MPEG),,20560
Lenovo thinkpad T440S,20ARS24P0E,PF03RECC,sha-win-261,marxu01,,,20186
Lenovo thinkpad T440S,20ARS24P0E,PF03XR1M,sha-win-262,wenshe02,,,20173
Lenovo thinkpad T440S,20ARS24P0E,PF04EUM8,sha-win-263,xuepan01,,,20227
Lenovo Thinkpad T440p ,20AW000RCD,PC02DNBJ,sha-win-267,jendu01,,,20195
Lenovo thinkpad T440S,20ARS24P0E,PF04EULP,sha-win-298,kaiqiN01,,,20171
lenovo thinkpad  x230,23201D6,R9XHRVZ,SHA-WIN-299,,,,20510
