Lenovo Thinkpad T430,2349G7C,PB7WK41,sha-win-124,saiwu01,AE,,20485
lenovo thinkpad T430 ,2349G7C,PB0VWX9,sha-win-125,cooyua01,R&D(MPEG),,20501
Lenovo Thinkpad T430,2349G7C,PB5WY3G,sha-win-126,haizha01,AE,,20495
Lenovo Thinkpad W530,244723c,R9YL6FM,sha-win-128,garwan01,R&D(MPEG),,20502
Lenovo Thinkpad T430,2347-G7C,PBEMKLB,sha-win-130,haoliu01,R&D(PDSW),9/19/2015,20429
lenovo thinkpad x230 ,23243wc,R9Z8ANL,sha-win-134,evepan01,Marketing,,20521
lenovo thinkpad T430 ,2349G7C,PB3PLG8,sha-win-135,artzho01,R&D(MPEG),,20503
lenovo thinkpad  x230,23201D6,R9Z3A3H,SHA-WIN-138,shexie01,SALES,,20505
lenovo thinkpad x230 ,23201D6,R9XHRZY,sha-win-140,fralei01,R&D(MPEG),,20512
lenovo thinkpad T430 ,2349G7C,PB0VWY2,sha-win-142,darma01,AE,,20508
Lenovo Thinkpad T420s,4171-A22,R9DM8ZF,sha-win-143,,,7/7/2014,20227
lenovo thinkpad T430 ,2349G7C,PB3XWEV,sha-win-144,tonliu01,R&D(PDSW),,20509
lenovo thinkpad T430 ,2349G7C,PB3XWFA,sha-win-145,jerli01,R&D(MPEG),,20510
lenovo thinkpad T430 ,2347G7C,PB4MZCK,sha-win-150,viczho01,R&D(MPEG),,20513
lenovo thinkpad x230 ,23243WC,R9ZV4W6,sha-win-151,olisun01,finance,,20601
lenovo thinkpad x230 ,23243WC,R9Z8AN5,sha-win-152,qiawan01,HR,,20515
lenovo thinkpad T430 ,2347G7C,PB4MZCL,sha-win-155,davxia01,AE,,20517
Lenovo Thinkpad T430,2347G7C,PB4MZCM,sha-win-157,taoqin01,R&D(MPEG),,20518
lenovo thinkpad x230 ,23243wc,R9Z8ANF,sha-win-158,rayche02,HR,,20520
lenovo thinkpad x230 ,23243wc,R9Z8ANW,sha-win-159,flogui01,R&D(MPEG),,20522
Lenovo Thinkpad T430,2347G7C,P8E871A,sha-win-160,zephe01,R&D(MPEG),,20543
lenovo thinkpad x230 ,2325IZ0,R9ZLZTZ,sha-win-161,rayyao01,Marketing,,20544
Lenovo Thinkpad x230s,20AHS00200,PF000AEZ,sha-win-165,kphua,AE,,20599
lenovo thinkpad x230 ,2325IZ0,R9ZLZTY,sha-win-168,swliu,FAE,,20592
lenovo thinkpad  x230,23243wc,R9Y3012,sha-win-170,wenwei01,admin,,20490
lenovo thinkpad x230 ,2325IZ0,PK03L5T,sha-win-172,lizha01,,,20600
Lenovo Thinkpad T430,2347G7C,PBE871B,SHA-WIN-178,benson01,AE,,20604
Lenovo Thinkpad T430,2347G7C,PBE871C,SHA-WIN-184,joexu01,AE,,20605
Lenovo Thinkpad T430,2347G7C,PBN05NP,sha-win-187,roczha01,AE,,20606
Lenovo Thinkpad T430,2347G7C,PBH9MT2,sha-win-191,robkon01,FAE,,20607
Lenovo Thinkpad T430,2347G7C,PBH8YZL,sha-win-192,robwan01,R&D(MPEG),,20608
Lenovo Thinkpad T430,2347G7C,PBP7EWF,sha-win-193,royhu01,AE,,20609
Lenovo Thinkpad T430,2347G7C,PBP7EWL,sha-win-195,annche01,ae,,20611
lenovo thinkpad x240 ,20AMS3R604,PC002471,SHA-WIN-196,alimou01,Marketing,,20612
lenovo thinkpad x240 ,20ALS00P00,PF006EM1,SHA-WIN-197,lauli01,HR,,20705
lenovo thinkpad x240 ,,,sha-win-201,merliu01,,,20634
Lenovo Thinkpad T430,2347G7C,PBP7EWP,sha-win-202,thopre01,R&D(PDSW),,20613
Lenovo Thinkpad T430,2349g7c,pbfz05y,sha-win-203,freyu01,R&D(MPEG),,20635
Lenovo Thinkpad T430,2349g7c,PBBD17E,SHA-WIN-205,JOEYE01,R&D(PDSW),,20637
lenovo thinkpad x240 ,20AL0024CD,PF001PXC13,sha-win-208,marli01,sales,,20638
lenovo thinkpad x240 ,20AL0024CD,PF00B29M13,sha-win-209,Mali400,Mali400,,20639
,,2767MZ1,sha-win-210,olisun01,finance,,
Lenovo Thinkpad T430,2349G7C,,sha-win-211,danxue01,AE,,
Lenovo Thinkpad T440P,20AW0009CD,PB010JQ2,sha-win-215,kuizhe01,R&D(PDSW),,20640
lenovo thinkpad x240 ,,,sha-win-216,fenwan01,Marketing,,20643
lenovo thinkpad x240 ,20AM0016CD,PF00XSSV,sha-win-217,amyqi01,op,,20645
lenovo thinkpad x240 ,20AL0024CD,PB011413,SHA-WIN-220,jesyan01,sales,,20646
Lenovo Thinkpad T440P,20AW0009CD,PB00YKMS,sha-win-221,halwan01,R&D(PDSW),,20649
lenovo thinkpad x240 ,20AL0024CD,PB01144H,sha-win-223,penche01,Marketing,,20650
Lenovo Thinkpad T440p ,20AW0009CD,PB01B44A,sha-win-224,hidzuo01,AE,,20653
Lenovo Thinkpad T440p ,20AW0009CD,PB01BABD,sha-win-225,jimhe01 ,R&D(MPEG),,20654
Lenovo Thinkpad T440p ,20AW0009CD,PB01B44J,sha-win-226,xinwan01,AE,,20658
lenovo thinkpad x240 ,20ALA0CSCD,PB015ZSA,sha-win-227,fanbao01,Marketing,,20674
lenovo thinkpad x240 , 20ALA0CSCD????? ,PB015Z8U,sha-win-228,jialiu01,R&D(PDSW),,20673
,,,sha-win-229,lchang,sales,,
